folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 3139,1,1,2,geocode_cargillmpn_20230728.xlsx,geocode_cargillmpn_20230728.xlsx;provider plus zip_cargillmpn_20231130 with 20231130 replacement.xlsx,3139 sedgwick cargile_mpn renewal app_20230728 with 20231130 replacement.pdf
MPN 3141,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes - 3141.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application guideone 04182024 replacement.pdf
MPN 3142,1,1,2,attachment c zmpn geocoding.xlsx,attachment b zmpn provider lists (20240320 replacement).xlsx;attachment c zmpn geocoding.xlsx,zmpn plan description and exhibits_20240320_clean (with 20240320 replacement).pdf
MPN 3143,1,1,2,geocode_adeventisthealthmpn_20231016.xlsx,geocode_adeventisthealthmpn_20231016.xlsx;provider plus zip_adventisthealthmpn_20240129 with 20240129 replacement.xlsx,3143_adventist_renewal_20231016.pdf
MPN 3144,0,1,3,,attachment b -pma primary ancillary.xlsx;attachment b-pma primary provider.xlsx;attachment c- pma primary access.xlsx,pma re-approval 2023 4122024(with 20240412 replacement).pdf
MPN 3145,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes - 3145 - 1.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application corvel corporation.pdf
MPN 3146,0,1,4,,sodexo_custom_mpn_dwc_access.xlsx;sodexo_custom_mpn_dwc_ancillary revised with 20240826 replacement.xlsx;sodexo_custom_mpn_dwc_provider revised with 20240826 replacement.xlsx;sodexo_custom_mpn_dwc_telehealth.xlsx,sodexo custom mpn #3146 reapproval application with 20240826 replacement.pdf
MPN 3148,1,1,2,geocode_cjpia_20240710.xlsx,geocode_cjpia_20240710.xlsx;provider plus zip_cjpia_20240808 with 20240808 replacement.xlsx,3148_cjpia dwc app_20240710 with 20240808 replacement.pdf
MPN 3149,1,1,2,attachment c - geocode (broadspire xl mpn).xlsx,attachment b - providers + zip codes (broadspire xl mpn)(with 20241023 replacement).xlsx;attachment c - geocode (broadspire xl mpn).xlsx,plan & attachments - broadspire xl mpn reapproval(with 20241023 replacement).pdf
MPN 3150,1,1,2,attachment c - geocode (broadspire premier xl mpn).xlsx,attachment b - providers + zip codes (broadspire premier xl mpn)(with 20241023 replacement).xlsx;attachment c - geocode (broadspire premier xl mpn).xlsx,plan & attachments - broadspire premier xl mpn reapproval(with 20241023 replacement).pdf
MPN 3151,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes(with 20250114 replacement).xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application alaska national select (002)(with 20250114 replacement).pdf
MPN 3152,0,1,2,,exhibitb_3152 v4 - 05222025 - rec fr dwc on 6-17-2025 with 20250617 replacement.xlsx;exhibitc_3152.xlsx,cob mpn application v3 with 20250414 replacement.pdf
MPN 3153,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zip codes with 20241106 replacement.xlsx;attachment c - geocode.xlsx,custom with kaiser mpn application prospect medical.pdf
